bodyPart,equipment,name,target
upper arms,dumbbell,dumbbell over bench one arm  neutral wrist curl,arms
lower arms,dumbbell,dumbbell over bench one arm reverse wrist curl,arms
lower arms,dumbbell,dumbbell over bench one arm wrist curl,arms
lower arms,dumbbell,dumbbell over bench revers wrist curl,arms
lower arms,dumbbell,dumbbell over bench wrist curl,arms
back,dumbbell,dumbbell palm rotational bent over row,back
upper arms,dumbbell,dumbbell palms in incline bench press,arms
upper arms,dumbbell,dumbbell peacher hammer curl,arms
upper legs,dumbbell,dumbbell plyo squat,legs
upper arms,dumbbell,dumbbell preacher curl,arms
upper arms,dumbbell,dumbbell preacher curl over exercise ball,arms
chest,dumbbell,dumbbell press on exercise ball,chest
upper arms,dumbbell,dumbbell pronate-grip triceps extension,arms
upper arms,dumbbell,dumbbell prone incline curl,arms
upper arms,dumbbell,dumbbell prone incline hammer curl,arms
chest,dumbbell,dumbbell pullover,chest
chest,dumbbell,dumbbell pullover hip extension on exercise ball,chest
chest,dumbbell,dumbbell pullover on exercise ball,chest
shoulders,dumbbell,dumbbell push press,shoulders
shoulders,dumbbell,dumbbell raise,shoulders
shoulders,dumbbell,dumbbell rear delt raise,shoulders
shoulders,dumbbell,dumbbell rear delt row_shoulder,shoulders
shoulders,dumbbell,dumbbell rear fly,shoulders
shoulders,dumbbell,dumbbell rear lateral raise,shoulders
shoulders,dumbbell,dumbbell rear lateral raise (support head),shoulders
upper legs,dumbbell,dumbbell rear lunge,legs
upper arms,dumbbell,dumbbell revers grip biceps curl,arms
chest,dumbbell,dumbbell reverse bench press,chest
shoulders,dumbbell,dumbbell reverse fly,shoulders
back,dumbbell,dumbbell reverse grip incline bench one arm row,back
back,dumbbell,dumbbell reverse grip incline bench two arm row,back
back,dumbbell,dumbbell reverse grip row (female),back
upper arms,dumbbell,dumbbell reverse preacher curl,arms
upper arms,dumbbell,dumbbell reverse spider curl,arms
lower arms,dumbbell,dumbbell reverse wrist curl,arms
upper legs,dumbbell,dumbbell romanian deadlift,legs
shoulders,dumbbell,dumbbell rotation reverse fly,shoulders
shoulders,dumbbell,dumbbell scott press,shoulders
shoulders,dumbbell,dumbbell seated alternate front raise,shoulders
upper arms,dumbbell,dumbbell seated alternate hammer curl on exercise ball,arms
shoulders,dumbbell,dumbbell seated alternate press,shoulders
shoulders,dumbbell,dumbbell seated alternate shoulder,shoulders
upper arms,dumbbell,dumbbell seated bench extension,arms
shoulders,dumbbell,dumbbell seated bent arm lateral raise,shoulders
upper arms,dumbbell,dumbbell seated bent over alternate kickback,arms
upper arms,dumbbell,dumbbell seated bent over triceps extension,arms
upper arms,dumbbell,dumbbell seated bicep curl,arms
upper arms,dumbbell,dumbbell seated biceps curl (on stability ball),arms
upper arms,dumbbell,dumbbell seated biceps curl to shoulder press,arms
lower legs,dumbbell,dumbbell seated calf raise,legs
upper arms,dumbbell,dumbbell seated curl,arms
shoulders,dumbbell,dumbbell seated front raise,shoulders
upper arms,dumbbell,dumbbell seated hammer curl,arms
upper arms,dumbbell,dumbbell seated inner biceps curl,arms
upper arms,dumbbell,dumbbell seated kickback,arms
shoulders,dumbbell,dumbbell seated lateral raise,shoulders
shoulders,dumbbell,dumbbell seated lateral raise v. 2,shoulders
upper arms,dumbbell,dumbbell seated neutral wrist curl,arms
upper arms,dumbbell,dumbbell seated one arm bicep curl on exercise ball with leg raised,arms
upper arms,dumbbell,dumbbell seated one arm kickback,arms
lower arms,dumbbell,dumbbell seated one arm rotate,arms
lower legs,dumbbell,dumbbell seated one leg calf raise,legs
lower legs,dumbbell,dumbbell seated one leg calf raise - hammer grip,legs
lower legs,dumbbell,dumbbell seated one leg calf raise - palm up,legs
lower arms,dumbbell,dumbbell seated palms up wrist curl,arms
upper arms,dumbbell,dumbbell seated preacher curl,arms
upper arms,dumbbell,dumbbell seated revers grip concentration curl,arms
upper arms,dumbbell,dumbbell seated reverse grip one arm overhead tricep extension,arms
shoulders,dumbbell,dumbbell seated shoulder press,shoulders
shoulders,dumbbell,dumbbell seated shoulder press (parallel grip),shoulders
upper arms,dumbbell,dumbbell seated triceps extension,arms
back,dumbbell,dumbbell shrug,back
waist,dumbbell,dumbbell side bend,abs
shoulders,dumbbell,dumbbell side lying one hand raise,shoulders
back,dumbbell,dumbbell side plank with rear fly,back
shoulders,dumbbell,dumbbell single arm overhead carry,shoulders
lower legs,dumbbell,dumbbell single leg calf raise,legs
upper legs,dumbbell,dumbbell single leg deadlift,legs
upper legs,dumbbell,dumbbell single leg deadlift with stepbox support,legs
upper legs,dumbbell,dumbbell single leg split squat,legs
upper legs,dumbbell,dumbbell single leg squat,legs
upper legs,dumbbell,dumbbell squat,legs
upper arms,dumbbell,dumbbell standing alternate hammer curl and press,arms
shoulders,dumbbell,dumbbell standing alternate overhead press,shoulders
shoulders,dumbbell,dumbbell standing alternate raise,shoulders
upper arms,dumbbell,dumbbell standing alternating tricep kickback,arms
shoulders,dumbbell,dumbbell standing around world,shoulders
upper arms,dumbbell,dumbbell standing bent over one arm triceps extension,arms
upper arms,dumbbell,dumbbell standing bent over two arm triceps extension,arms
upper arms,dumbbell,dumbbell standing biceps curl,arms
lower legs,dumbbell,dumbbell standing calf raise,legs
upper arms,dumbbell,dumbbell standing concentration curl,arms
shoulders,dumbbell,dumbbell standing front raise above head,shoulders
upper arms,dumbbell,dumbbell standing inner biceps curl v. 2,arms
upper arms,dumbbell,dumbbell standing kickback,arms
upper arms,dumbbell,dumbbell standing one arm concentration curl,arms
upper arms,dumbbell,dumbbell standing one arm curl (over incline bench),arms
upper arms,dumbbell,dumbbell standing one arm curl over incline bench,arms
upper arms,dumbbell,dumbbell standing one arm extension,arms
shoulders,dumbbell,dumbbell standing one arm palm in press,shoulders
upper arms,dumbbell,dumbbell standing one arm reverse curl,arms
shoulders,dumbbell,dumbbell standing overhead press,shoulders
shoulders,dumbbell,dumbbell standing palms in press,shoulders
upper arms,dumbbell,dumbbell standing preacher curl,arms
upper arms,dumbbell,dumbbell standing reverse curl,arms
upper arms,dumbbell,dumbbell standing triceps extension,arms
upper arms,dumbbell,dumbbell standing zottman preacher curl,arms
upper arms,dumbbell,dumbbell step up single leg balance with bicep curl,arms
upper legs,dumbbell,dumbbell step-up,legs
upper legs,dumbbell,dumbbell step-up lunge,legs
upper legs,dumbbell,dumbbell step-up split squat,legs
upper legs,dumbbell,dumbbell stiff leg deadlift,legs
chest,dumbbell,dumbbell straight arm pullover,chest
upper legs,dumbbell,dumbbell straight leg deadlift,legs
upper legs,dumbbell,dumbbell sumo pull through,legs
upper legs,dumbbell,dumbbell supported squat,legs
upper arms,dumbbell,dumbbell tate press,arms
upper arms,dumbbell,dumbbell tricep kickback with stork stance,arms
upper arms,dumbbell,dumbbell twisting bench press,arms
shoulders,dumbbell,dumbbell upright row,shoulders
shoulders,dumbbell,dumbbell upright row (back pov),shoulders
shoulders,dumbbell,dumbbell upright shoulder external rotation,shoulders
upper arms,dumbbell,dumbbell waiter biceps curl,arms
shoulders,dumbbell,dumbbell w-press,shoulders
upper arms,dumbbell,dumbbell zottman curl,arms
upper arms,dumbbell,dumbbell zottman preacher curl,arms
upper arms,dumbbell,dumbbells seated triceps extension,arms
chest,body weight,dynamic chest stretch (male),chest
upper arms,body weight,elbow dips,arms
back,body weight,elbow lift - reverse push-up,back
waist,body weight,elbow-to-knee,abs
back,body weight,elevator,back
back,stability ball,exercise ball alternating arm ups,back
back,stability ball,exercise ball back extension with arms extended,back
back,stability ball,exercise ball back extension with hands behind head,back
back,stability ball,exercise ball back extension with knees off ground,back
back,stability ball,exercise ball back extension with rotation,back
upper arms,stability ball,exercise ball dip,arms
upper legs,stability ball,exercise ball hip flexor stretch,legs
back,stability ball,exercise ball hug,back
back,stability ball,exercise ball lat stretch,back
back,stability ball,exercise ball lower back stretch (pyramid),back
back,stability ball,exercise ball lying side lat stretch,back
lower legs,dumbbell,exercise ball on the wall calf raise,legs
lower legs,dumbbell,exercise ball on the wall calf raise (tennis ball between ankles),legs
lower legs,dumbbell,exercise ball on the wall calf raise (tennis ball between knees),legs
upper legs,stability ball,exercise ball one leg prone lower body rotation,legs
upper legs,stability ball,exercise ball one legged diagonal kick hamstring curl,legs
chest,stability ball,exercise ball pike push up,chest
back,stability ball,exercise ball prone leg raise,back
upper legs,stability ball,exercise ball seated hamstring stretch,legs
upper arms,stability ball,exercise ball seated triceps stretch,arms
upper arms,dumbbell,exercise ball supine triceps extension,arms
upper arms,ez barbell,ez bar french press on exercise ball,arms
back,ez barbell,ez bar lying bent arms pullover,back
upper arms,ez barbell,ez bar lying close grip triceps extension behind head,arms
back,ez barbell,ez bar reverse grip bent over row,back
upper arms,ez barbell,ez bar seated close grip concentration curl,arms
upper arms,ez barbell,ez bar standing french press,arms
shoulders,ez barbell,ez barbell anti gravity press,shoulders
upper arms,ez barbell,ez barbell close grip preacher curl,arms
upper arms,ez barbell,ez barbell close-grip curl,arms
upper arms,ez barbell,ez barbell curl,arms
upper arms,ez barbell,ez barbell decline close grip face press,arms
upper arms,ez barbell,ez barbell decline triceps extension,arms
upper arms,ez barbell,ez barbell incline triceps extension,arms
upper arms,ez barbell,ez barbell jm bench press,arms
upper arms,ez barbell,ez barbell reverse grip curl,arms
upper arms,ez barbell,ez barbell reverse grip preacher curl,arms
upper arms,ez barbell,ez barbell seated curls,arms
upper arms,ez barbell,ez barbell seated triceps extension,arms
upper arms,ez barbell,ez barbell spider curl,arms
upper arms,ez barbell,ez barbell spider curl,arms
upper arms,ez barbell,ez-bar biceps curl (with arm blaster),arms
upper arms,ez barbell,ez-bar close-grip bench press,arms
upper arms,ez barbell,ez-barbell standing wide grip biceps curl,arms
upper legs,dumbbell,farmers walk,legs
lower arms,barbell,finger curls,arms
waist,body weight,flag,abs
waist,body weight,flexion leg sit up (bent knee),abs
waist,body weight,flexion leg sit up (straight arm),abs
chest,barbell,floor fly (with barbell),chest
upper legs,body weight,flutter kicks,legs
upper legs,body weight,forward jump,legs
upper legs,body weight,forward lunge (male),legs
upper legs,barbell,frankenstein squat,legs
waist,body weight,frog crunch,abs
waist,body weight,frog planche,abs
waist,body weight,front lever,abs
back,body weight,front lever reps,back
waist,body weight,front plank with twist,abs
waist,body weight,full maltese,abs
waist,body weight,full planche,abs
chest,body weight,full planche push-up,chest
back,body weight,gironda sternum chin,back
upper legs,body weight,glute bridge march,legs
upper legs,body weight,glute bridge two legs on bench (male),legs
upper legs,body weight,glute-ham raise,legs
waist,body weight,gorilla chin,abs
waist,body weight,groin crunch,abs
lower legs,sled machine,hack calf raise,legs
lower legs,sled machine,hack one leg calf raise,legs
cardio,body weight,half knee bends (male),cardio
waist,body weight,half sit-up (male),abs
upper legs,body weight,hamstring stretch,legs
chest,upper body ergometer,hands bike,chest
upper legs,body weight,hands clasped circular toe touch (male),legs
upper legs,body weight,hands reversed clasped circular toe touch (male),legs
upper arms,body weight,handstand,arms
upper arms,body weight,handstand push-up,arms
waist,body weight,hanging leg hip raise,abs
waist,body weight,hanging leg raise,abs
waist,body weight,hanging oblique knee raise,abs
waist,body weight,hanging pike,abs
waist,body weight,hanging straight leg hip raise,abs
waist,body weight,hanging straight leg raise,abs
waist,body weight,hanging straight twisting leg hip raise,abs
cardio,body weight,high knee against wall,cardio
waist,body weight,hip raise (bent knee),abs
upper legs,body weight,hug keens to chest,legs
chest,dumbbell,hyght dumbbell fly,chest
back,body weight,hyperextension,back
back,body weight,hyperextension (on bench),back
upper arms,body weight,impossible dips,arms
waist,body weight,inchworm,abs
waist,body weight,inchworm v. 2,abs
upper arms,body weight,incline close-grip push-up,arms
waist,body weight,incline leg hip raise (leg straight),abs
chest,body weight,incline push up depth jump,chest
chest,body weight,incline push-up,chest
chest,body weight,incline push-up (on box),chest
chest,body weight,incline reverse grip push-up,chest
chest,body weight,incline scapula push up,back
waist,body weight,incline twisting sit-up,abs
upper legs,rope,intermediate hip flexor and quad stretch,legs
upper legs,body weight,inverse leg curl (bench support),legs
upper legs,body weight,inverse leg curl (on pull-up cable machine),legs
back,body weight,inverted row,back
back,body weight,inverted row bent knees,back
back,body weight,inverted row on bench,back
back,body weight,inverted row v. 2,back
back,body weight,inverted row with straps,back
upper legs,body weight,iron cross stretch,legs
chest,body weight,isometric chest squeeze,chest
chest,body weight,isometric wipers,chest
cardio,body weight,jack burpee,cardio
cardio,body weight,jack jump (male),cardio
waist,body weight,jackknife sit-up,abs
waist,body weight,janda sit-up,abs
cardio,rope,jump rope,cardio
upper legs,body weight,jump squat,legs
upper legs,body weight,jump squat v. 2,legs
waist,kettlebell,kettlebell advanced windmill,abs
lower arms,kettlebell,kettlebell alternating hang clean,arms
shoulders,kettlebell,kettlebell alternating press,shoulders
chest,kettlebell,kettlebell alternating press on floor,chest
back,kettlebell,kettlebell alternating renegade row,back
back,kettlebell,kettlebell alternating row,back
shoulders,kettlebell,kettlebell arnold press,shoulders
waist,kettlebell,kettlebell bent press,abs
upper arms,kettlebell,kettlebell bottoms up clean from the hang position,arms
upper arms,kettlebell,kettlebell double alternating hang clean,arms
shoulders,kettlebell,kettlebell double jerk,shoulders
shoulders,kettlebell,kettlebell double push press,shoulders
shoulders,kettlebell,kettlebell double snatch,shoulders
waist,kettlebell,kettlebell double windmill,abs
chest,kettlebell,kettlebell extended range one arm press on floor,chest
waist,kettlebell,kettlebell figure 8,abs
upper legs,kettlebell,kettlebell front squat,legs
upper legs,kettlebell,kettlebell goblet squat,legs
upper legs,kettlebell,kettlebell hang clean,legs
upper legs,kettlebell,kettlebell lunge pass through,legs
shoulders,kettlebell,kettlebell one arm clean and jerk,shoulders
chest,kettlebell,kettlebell one arm floor press,chest
shoulders,kettlebell,kettlebell one arm jerk,shoulders
shoulders,kettlebell,kettlebell one arm military press to the side,shoulders
shoulders,kettlebell,kettlebell one arm push press,shoulders
back,kettlebell,kettlebell one arm row,back
shoulders,kettlebell,kettlebell one arm snatch,shoulders
shoulders,kettlebell,kettlebell pirate supper legs,shoulders
upper legs,kettlebell,kettlebell pistol squat,legs
chest,kettlebell,kettlebell plyo push-up,chest
shoulders,kettlebell,kettlebell seated press,shoulders
shoulders,kettlebell,kettlebell seated two arm military press,shoulders
shoulders,kettlebell,kettlebell seesaw press,shoulders
back,kettlebell,kettlebell sumo high pull,back
upper legs,kettlebell,kettlebell swing,legs
shoulders,kettlebell,kettlebell thruster,shoulders
upper legs,kettlebell,kettlebell turkish get up (squat style),legs
shoulders,kettlebell,kettlebell two arm clean,shoulders
shoulders,kettlebell,kettlebell two arm military press,shoulders
back,kettlebell,kettlebell two arm row,back
waist,kettlebell,kettlebell windmill,abs
upper legs,body weight,kick out sit,legs
back,body weight,kipping muscle up,back
waist,body weight,knee touch crunch,abs
upper legs,barbell,kneeling jump squat,legs
back,body weight,kneeling lat stretch,back
waist,body weight,kneeling plank tap shoulder (male),abs
chest,body weight,kneeling push-up (male),chest
chest,body weight,korean dips,chest
back,body weight,l-pull-up,back
waist,body weight,l-sit on floor,abs
waist,barbell,landmine 180,abs
shoulders,barbell,landmine lateral raise,shoulders
waist,body weight,lean planche,abs
shoulders,body weight,left hook. boxing,shoulders
waist,body weight,leg pull in flat bench,abs
upper legs,body weight,leg up hamstring stretch,legs
upper legs,leverage machine,lever alternate leg press ,legs
back,leverage machine,lever alternating narrow grip seated row ,back
back,leverage machine,lever assisted chin-up,back
back,leverage machine,lever back extension,back
back,barbell,lever bent over row ,back
back,leverage machine,lever bent-over row with v-bar ,back
upper arms,leverage machine,lever bicep curl,arms
lower legs,leverage machine,lever calf press ,legs
chest,leverage machine,lever chest press,chest
chest,leverage machine,lever chest press ,chest
chest,leverage machine,lever chest press v. 2,chest
upper legs,leverage machine,lever deadlift ,legs
chest,leverage machine,lever decline chest press,chest
lower legs,leverage machine,lever donkey calf raise,legs
back,leverage machine,lever front pulldown,back
back,leverage machine,lever gripless shrug,back
back,leverage machine,lever gripless shrug v. 2,back
lower arms,leverage machine,lever gripper hands ,arms
upper arms,leverage machine,lever hammer grip preacher curl,arms
back,leverage machine,lever high row ,back
upper legs,leverage machine,lever hip extension v. 2,legs
upper legs,leverage machine,lever horizontal one leg press,legs
chest,leverage machine,lever incline chest press,chest
chest,leverage machine,lever incline chest press v. 2,chest
upper legs,leverage machine,lever kneeling leg curl ,legs
waist,leverage machine,lever kneeling twist,abs
shoulders,leverage machine,lever lateral raise,shoulders
upper legs,leverage machine,lever leg extension,legs
upper legs,leverage machine,lever lying leg curl,legs
upper legs,leverage machine,lever lying two-one leg curl,legs
shoulders,leverage machine,lever military press ,shoulders
back,leverage machine,lever narrow grip seated row ,back
back,barbell,lever one arm bent over row ,back
back,leverage machine,lever one arm lateral high row,back
back,leverage machine,lever one arm lateral wide pulldown ,back
shoulders,leverage machine,lever one arm shoulder press ,shoulders
upper arms,leverage machine,lever overhand triceps dip,arms
upper arms,leverage machine,lever preacher curl,arms
upper arms,leverage machine,lever preacher curl v. 2,arms
back,leverage machine,lever pullover ,back
back,leverage machine,lever reverse grip lateral pulldown ,back
upper arms,leverage machine,lever reverse grip preacher curl,arms
back,leverage machine,lever reverse grip vertical row,back
upper legs,leverage machine,lever reverse hyperextension ,legs
back,leverage machine,lever reverse t-bar row,back
lower legs,leverage machine,lever rotary calf,legs
lower legs,leverage machine,lever seated calf press,legs
lower legs,leverage machine,lever seated calf raise ,legs
waist,leverage machine,lever seated crunch,abs
waist,leverage machine,lever seated crunch (chest pad),abs
waist,leverage machine,lever seated crunch v. 2,abs
upper arms,leverage machine,lever seated dip,arms
chest,leverage machine,lever seated fly,chest
upper legs,leverage machine,lever seated good morning,legs
upper legs,leverage machine,lever seated hip abduction,legs
upper legs,leverage machine,lever seated hip adduction,legs
upper legs,leverage machine,lever seated leg curl,legs
waist,leverage machine,lever seated leg raise crunch ,abs
shoulders,leverage machine,lever seated reverse fly,shoulders
shoulders,leverage machine,lever seated reverse fly (parallel grip),shoulders
back,leverage machine,lever seated row,back
shoulders,leverage machine,lever seated shoulder press,shoulders
lower legs,leverage machine,lever seated squat calf raise on leg press machine,legs
waist,leverage machine,lever seated twist,abs
shoulders,leverage machine,lever shoulder press ,shoulders
shoulders,leverage machine,lever shoulder press  v. 2,shoulders
shoulders,leverage machine,lever shoulder press  v. 3,shoulders
back,leverage machine,lever shrug ,back
lower legs,leverage machine,lever standing calf raise,legs
chest,leverage machine,lever standing chest press,chest
back,leverage machine,lever t bar row ,back
back,leverage machine,lever t-bar reverse grip row,back
upper arms,leverage machine,lever triceps extension,arms
back,leverage machine,lever unilateral row,back
back,rope,london bridge,back
upper legs,body weight,low glute bridge on floor,legs
back,body weight,lower back curl,back
upper legs,body weight,lunge with jump,legs
waist,body weight,lunge with twist,abs
upper legs,body weight,lying (side) quads stretch,legs
waist,body weight,lying elbow to knee,abs
waist,body weight,lying leg raise flat bench,abs
waist,body weight,lying leg-hip raise,abs
chest,leverage machine,machine inner chest press,chest
upper legs,body weight,march sit (wall),legs
back,medicine ball,medicine ball catch and overhead throw,back
chest,medicine ball,medicine ball chest pass,chest
chest,medicine ball,medicine ball chest push from 3 point stance,chest
chest,medicine ball,medicine ball chest push multiple response,chest
chest,medicine ball,medicine ball chest push single response,chest
chest,medicine ball,medicine ball chest push with run release,chest
upper arms,medicine ball,medicine ball close grip push up,arms
back,medicine ball,medicine ball overhead slam,back
upper arms,medicine ball,medicine ball supine chest throw,arms
back,body weight,mixed grip chin-up,back
chest,body weight,modified hindu push-up (male),chest
lower arms,body weight,modified push up to lower arms,arms
upper legs,body weight,monster walk,legs
cardio,body weight,mountain climber,cardio
back,body weight,muscle up,back
back,body weight,muscle-up (on vertical bar),back
upper arms,stability ball,narrow push-up on exercise ball,arms
waist,body weight,negative crunch,abs
waist,body weight,oblique crunch v. 2,abs
waist,body weight,oblique crunches floor,abs
upper arms,olympic barbell,olympic barbell hammer curl,arms
upper arms,olympic barbell,olympic barbell triceps extension,arms
back,body weight,one arm against wall,back
back,body weight,one arm chin-up,back
upper arms,body weight,one arm dip,arms
waist,medicine ball,one arm slam (with medicine ball),abs
back,body weight,one arm towel row,back
lower legs,body weight,one leg donkey calf raise,legs
lower legs,body weight,one leg floor calf raise,legs
upper legs,body weight,one leg squat,legs
waist,weighted,otis up,abs
upper legs,body weight,outside leg kick push-up,legs
upper arms,body weight,overhead triceps stretch,arms
waist,body weight,pelvic tilt,abs
upper legs,body weight,pelvic tilt into bridge,legs
lower legs,rope,peroneals stretch,legs
upper legs,body weight,pike-to-cobra push-up,legs
chest,body weight,plyo push up,chest
waist,body weight,posterior step to overhead reach,abs
lower legs,rope,posterior tibialis stretch,legs
waist,body weight,potty squat,abs
upper legs,body weight,potty squat with support,legs
upper legs,barbell,power clean,legs
waist,body weight,power point plank,abs
waist,body weight,prisoner half sit-up (male),abs
waist,stability ball,prone twist on stability ball,abs
back,body weight,pull up (neutral grip),back
waist,stability ball,pull-in (on stability ball),abs
back,body weight,pull-up,back
chest,body weight,push and pull bodyweight,chest
cardio,body weight,push to run,cardio
chest,bosu ball,push up on bosu ball,chest
chest,body weight,push-up,chest
chest,bosu ball,push-up (bosu ball),chest
chest,stability ball,push-up (on stability ball),chest
chest,stability ball,push-up (on stability ball),chest
chest,body weight,push-up (wall),chest
chest,body weight,push-up (wall) v. 2,chest
upper arms,dumbbell,push-up close-grip off dumbbell,arms
upper legs,body weight,push-up inside leg kick,legs
chest,medicine ball,push-up medicine ball,chest
upper arms,body weight,push-up on lower arms,arms
chest,body weight,push-up plus,chest
waist,body weight,push-up to side plank,abs
upper legs,body weight,quads,legs
waist,body weight,quarter sit-up,abs
upper legs,body weight,quick feet v. 2,legs
chest,body weight,raise single arm push-up,chest
upper legs,body weight,rear decline bridge,legs
shoulders,body weight,rear deltoid stretch,shoulders
back,body weight,rear pull-up,back
upper legs,rope,reclining big toe pose with rope,legs
upper legs,resistance band,resistance band hip thrusts on knees (female),legs
upper legs,resistance band,resistance band leg extension,legs
upper arms,resistance band,resistance band seated biceps curl,arms
chest,resistance band,resistance band seated chest press,chest
upper legs,resistance band,resistance band seated hip abduction,legs
shoulders,resistance band,resistance band seated shoulder press,shoulders
back,resistance band,resistance band seated straight back row,back
waist,body weight,reverse crunch,abs
upper arms,body weight,reverse dip,arms
back,leverage machine,reverse grip machine lat pulldown,back
back,body weight,reverse grip pull-up,back
upper legs,stability ball,reverse hyper extension (on stability ball),legs
upper legs,body weight,reverse hyper on flat bench,legs
waist,body weight,reverse plank with leg lift,abs
upper arms,body weight,ring dips,arms
upper legs,body weight,rocking frog stretch,legs
back,body weight,rocky pull-up pulldown,back
back,roller,roller back stretch,back
waist,roller,roller body saw,abs
upper legs,roller,roller hip lat stretch,legs
upper legs,roller,roller hip stretch,legs
waist,roller,roller reverse crunch,abs
chest,roller,roller seated shoulder flexor depresor retractor,chest
chest,roller,roller seated single leg shoulder flexor depresor retractor,chest
back,roller,roller side lat stretch,back
back,rope,rope climb,back
cardio,body weight,run,cardio
cardio,body weight,run (equipment),cardio
upper legs,body weight,runners stretch,legs
waist,body weight,russian twist,abs
back,body weight,scapula dips,back
chest,body weight,scapula push-up,back
back,body weight,scapular pull-up,back
cardio,body weight,scissor jumps (male),cardio
lower legs,body weight,seated calf stretch (male),legs
upper legs,body weight,seated glute stretch,legs
waist,body weight,seated leg raise,abs
back,body weight,seated lower back stretch,back
upper legs,body weight,seated piriformis stretch,legs
waist,body weight,seated side crunch (wall),abs
upper legs,body weight,seated wide angle pose sequence,legs
upper legs,body weight,self assisted inverse leg curl,legs
upper legs,body weight,self assisted inverse leg curl,legs
upper legs,body weight,self assisted inverse leg curl (on floor),legs
cardio,body weight,semi squat jump (male),cardio
cardio,body weight,short stride run,cardio
back,body weight,shoulder grip pull-up,back
waist,body weight,shoulder tap,abs
chest,body weight,shoulder tap push-up,chest
upper legs,body weight,side bridge hip abduction,legs
waist,body weight,side bridge v. 2,abs
waist,body weight,side hip (on parallel bars),abs
upper legs,body weight,side hip abduction,legs
back,body weight,side lying floor stretch,back
upper legs,body weight,side lying hip adduction (male),legs
upper legs,body weight,side plank hip adduction,legs
upper arms,body weight,side push-up,arms
lower arms,body weight,side wrist pull stretch,arms
back,body weight,side-to-side chin,back
waist,body weight,side-to-side toe touch (male),abs
chest,body weight,single arm push-up,chest
upper legs,body weight,single leg bridge with outstretched leg,legs
lower legs,dumbbell,single leg calf raise (on a dumbbell),legs
upper legs,body weight,single leg platform slide,legs
upper legs,body weight,single leg squat (pistol) male,legs
upper legs,body weight,sissy squat,legs
waist,body weight,sit-up v. 2,abs
waist,body weight,sit-up with arms on chest,abs
cardio,body weight,skater hops,cardio
upper arms,skierg machine,ski ergometer,arms
cardio,body weight,ski step,cardio
back,body weight,skin the cat,back
upper legs,sled machine,sled 45 degrees one leg press,legs
lower legs,sled machine,sled 45в° calf press,legs
upper legs,sled machine,sled 45в° leg press,legs
upper legs,sled machine,sled 45в° leg press (back pov),legs
upper legs,sled machine,sled 45в° leg press (side pov),legs
upper legs,sled machine,sled 45в° leg wide press,legs
lower legs,sled machine,sled calf press on leg press,legs
upper legs,sled machine,sled closer hack squat,legs
lower legs,sled machine,sled forward angled calf raise,legs
upper legs,sled machine,sled hack squat,legs
lower legs,sled machine,sled lying calf press,legs
upper legs,sled machine,sled lying squat,legs
lower legs,sled machine,sled one leg calf press on leg press,legs
waist,hammer,sledge hammer,abs
back,smith machine,smith back shrug,back
shoulders,smith machine,smith behind neck press,shoulders
chest,smith machine,smith bench press,chest
upper legs,smith machine,smith bent knee good morning,legs
back,smith machine,smith bent over row,back
upper legs,smith machine,smith chair squat,legs
upper arms,smith machine,smith close-grip bench press,arms
upper legs,smith machine,smith deadlift,legs
chest,smith machine,smith decline bench press,chest
chest,smith machine,smith decline reverse-grip press,chest
upper legs,smith machine,smith front squat (clean grip),legs
upper legs,smith machine,smith full squat,legs
upper legs,smith machine,smith hack squat,legs
waist,smith machine,smith hip raise,abs
chest,smith machine,smith incline bench press,chest
chest,smith machine,smith incline reverse-grip press,chest
chest,smith machine,smith incline shoulder raises,back
upper legs,smith machine,smith leg press,legs
upper legs,smith machine,smith low bar squat,legs
upper arms,smith machine,smith machine bicep curl,arms
upper arms,smith machine,smith machine decline close grip bench press,arms
upper arms,smith machine,smith machine incline tricep extension,arms
chest,smith machine,smith machine reverse decline close grip bench press,chest
back,smith machine,smith narrow row,back
back,smith machine,smith one arm row,back
lower legs,smith machine,smith one leg floor calf raise,legs
shoulders,smith machine,smith rear delt row,shoulders
lower legs,smith machine,smith reverse calf raises,legs
lower legs,smith machine,smith reverse calf raises,legs
back,smith machine,smith reverse grip bent over row,back
chest,smith machine,smith reverse-grip press,chest
lower legs,smith machine,smith seated one leg calf raise,legs
shoulders,smith machine,smith seated shoulder press,shoulders
lower arms,smith machine,smith seated wrist curl,arms
shoulders,smith machine,smith shoulder press,shoulders
back,smith machine,smith shrug,back
upper legs,smith machine,smith single leg split squat,legs
upper legs,smith machine,smith sprint lunge,legs
upper legs,smith machine,smith squat,legs
lower arms,smith machine,smith standing back wrist curl,arms
shoulders,smith machine,smith standing behind head military press,shoulders
lower legs,smith machine,smith standing leg calf raise,legs
shoulders,smith machine,smith standing military press,shoulders
upper legs,smith machine,smith sumo squat,legs
lower legs,smith machine,smith toe raise,legs
shoulders,smith machine,smith upright row,shoulders
chest,smith machine,smith wide grip bench press,chest
chest,smith machine,smith wide grip decline bench press,chest
upper legs,barbell,snatch pull,legs
waist,dumbbell,spell caster,abs
back,body weight,sphinx,back
upper legs,body weight,spider crawl push up,legs
back,body weight,spine stretch,back
waist,body weight,spine twist,abs
upper legs,body weight,split squats,legs
upper legs,barbell,squat jerk,legs
upper legs,bosu ball,squat on bosu ball,legs
upper legs,body weight,squat to overhead reach,legs
